Additional_outlet_count,Call,Cost_for_two,Cuisines,Features,Home_Delivery,Operational_hours,Restaurant_Location,Restaurant_Name,Restaurant_Type,View_Menu,Min_Order(Rs.),Delivery_Time(mins),Rating,Votes,Rating_Category,Operational_after_Midnight,Cuisine_count,Feature_Count,Res_Type_Count,Competitors_in_Location,Score
2.0,TRUE,250,Bakery,Food Hygiene Rated Restaurants In Mumbai,TRUE,10am – 11pm (Mon-Sun),Airoli,Bake Ur Day,Bakery,TRUE,0.0,60.0,4.0,308.0,Very Good,FALSE,1,1,1,68.0,29.435335711135300
9.0,TRUE,300,"Bakery, Desserts",nan,FALSE,9am – 10pm (Mon-Sun),Airoli,Cake Street,Bakery,TRUE,,,3.7,64.0,Good,FALSE,2,1,1,68.0,23.82293594868390
,TRUE,300,Bakery,nan,TRUE,10am – 11pm (Mon-Sun),Airoli,Tiers Of Joy,Bakery,TRUE,0.0,136.0,4.0,156.0,Very Good,FALSE,1,1,1,68.0,28.516814208466300
,TRUE,500,"Cafe, Desserts",nan,FALSE,9am – 11pm (Mon-Sun),Airoli,FNP Cakes N More,Bakery,TRUE,,,3.3,8.0,Average,FALSE,2,1,2,68.0,17.967291910495500
,TRUE,300,"Bakery, Desserts",Food Hygiene Rated Restaurants In Mumbai,TRUE,9:30am – 12midnight (Mon-Sun),Airoli,Cake Boutique,Bakery,TRUE,99.0,115.0,3.9,309.0,Good,FALSE,2,1,2,68.0,28.062068270930500
,TRUE,400,"Bakery, Fast Food",nan,FALSE,8:30am – 11pm (Mon-Sun),Ambernath,Top In Town Bakery,Bakery,TRUE,,,3.3,10.0,Average,FALSE,2,1,1,12.0,17.97937771974120
,TRUE,300,Bakery,11% off on all dine-in and home-delivery orders,TRUE,"12midnight – 1am, 10am – 12midnight (Mon-Sun)",Andheri West,Cakers & Cakers,Bakery,TRUE,99.0,60.0,4.2,233.0,Very Good,FALSE,1,1,1,295.0,31.74073855407880
,TRUE,300,Bakery,nan,FALSE,11am – 7pm (Mon-Sun),Andheri West,Cookie me up,Bakery,TRUE,,,3.6,25.0,Good,FALSE,1,1,1,295.0,22.20795232356630
,TRUE,200,"Bakery, Desserts",nan,TRUE,8am – 12midnight (Mon-Sun),Andheri West,New Super Sweets,Bakery,TRUE,0.0,45.0,3.8,78.0,Good,FALSE,2,1,1,295.0,25.286846958231000
1.0,TRUE,350,"Bakery, Desserts",nan,TRUE,10am – 12:30AM (Mon-Sun),Andheri West,Cake Tree,Bakery,TRUE,99.0,45.0,3.2,64.0,Average,TRUE,2,1,1,295.0,16.926384224546000
,TRUE,300,Bakery,nan,FALSE,10am – 10pm (Mon-Sun),Andheri West,Your Batter Half,Bakery,TRUE,,,3.8,42.0,Good,FALSE,1,1,1,295.0,25.06930239180940
,TRUE,500,Bakery,nan,TRUE,8:30am – 9:30pm (Mon-Sun),Andheri West,Patisserie at The Club Mumbai,Bakery,TRUE,99.0,35.0,3.5,25.0,Good,FALSE,1,1,1,295.0,20.8286419787387
1.0,TRUE,400,"Bakery, Desserts, Fast Food",Dessert Picks,TRUE,7:30am – 12midnight (Mon-Sun),Andheri West,Leo's Boulangerie,Bakery,TRUE,200.0,55.0,4.1,483.0,Very Good,FALSE,3,1,2,295.0,31.872154364956700
2.0,TRUE,250,"Bakery, Desserts",Dessert Picks,TRUE,9am – 12:30AM (Mon-Sun),Andheri West,Bakers & More,Bakery,TRUE,99.0,45.0,3.9,322.0,Good,TRUE,2,1,2,295.0,28.140626031027200
3.0,TRUE,300,"Bakery, Sandwich, Fast Food, Rolls, Lebanese",nan,TRUE,"9:15am – 11:30pm (Mon-Sat),12midnight – 1:30am...",Andheri West,Breadkraft,Bakery,TRUE,0.0,45.0,3.9,1287.0,Good,TRUE,5,1,2,295.0,33.97202899205050
6.0,TRUE,250,"Desserts, Bakery, Fast Food",nan,FALSE,12noon – 12midnight (Mon-Sun),Andheri West,Camy Wafers,Bakery,TRUE,,,3.6,45.0,Good,FALSE,3,1,2,295.0,22.32881041602270
4.0,TRUE,300,"Bakery, Desserts",nan,TRUE,9am – 10:30pm (Mon-Sun),Bandra East,Cake Piper,Bakery,TRUE,99.0,60.0,3.4,21.0,Average,FALSE,2,1,2,37.0,19.42516001541980
,TRUE,600,"Bakery, European",nan,TRUE,12noon – 11pm (Mon-Sun),Bandra Kurla Complex,Yauatcha Pâtisserie,Bakery,TRUE,99.0,30.0,3.8,53.0,Good,FALSE,2,1,1,38.0,25.135774342660500
,TRUE,350,"Bakery, Desserts",10% off on all orders above ₹150,TRUE,12noon – 12midnight (Mon-Sun),Bandra West,The Dessertarian,Bakery,TRUE,99.0,45.0,4.0,99.0,Very Good,FALSE,2,1,1,241.0,28.17236864496550
,TRUE,500,"Bakery, Desserts",Best of Mumbai,FALSE,10am – 8pm (Mon-Sun),Bandra West,Vanilla Beans,Bakery,TRUE,,,4.5,606.0,Excellent,FALSE,2,1,1,241.0,38.132673012874200
,TRUE,500,"Bakery, Desserts, Healthy Food",nan,FALSE,10am – 7pm (Mon-Sun),Bandra West,Fitness Bakery,Bakery,TRUE,,,3.8,47.0,Good,FALSE,3,1,1,241.0,25.09951691492350
,TRUE,350,Bakery,nan,TRUE,10am – 11pm (Mon-Sun),Bandra West,La Braco,Bakery,TRUE,99.0,30.0,3.9,71.0,Good,FALSE,1,1,1,241.0,26.623856970698900
,TRUE,500,"Bakery, Desserts",nan,FALSE,11am – 7pm (Mon-Sun),Bandra West,Cake O Clock,Bakery,TRUE,,,3.2,7.0,Average,FALSE,2,1,1,241.0,16.581938661045100
,TRUE,1150,"Bakery, Continental, Beverages, Burger, Cafe Food, Desserts",nan,FALSE,10am – 11pm (Mon-Sun),Bandra West,Karachi Bakery and Cafe,Bakery,TRUE,,,3.8,48.0,Good,FALSE,6,1,1,241.0,25.10555981954640
,TRUE,400,"Bakery, Desserts",15% off on all dine-in and home-delivery orders,TRUE,9am – 7pm (Mon-Sun),Bandra West,A Vanilla Bean,Bakery,TRUE,0.0,45.0,4.0,115.0,Very Good,FALSE,2,1,1,241.0,28.269055118930600
,TRUE,600,"Bakery, Desserts",nan,FALSE,10am – 8pm (Mon-Sun),Bandra West,Whey It Up,Bakery,TRUE,,,3.3,11.0,Average,FALSE,2,1,1,241.0,17.985420624364000
